unigram,n
fall,153
wake,153
adding,152
argue,152
difficult,152
economic,152
samuel,152
shared,152
west,152
beliefs,151
lost,151
tissue,151
considered,150
explained,150
significant,150
speaker,150
specifically,150
staff,150
communion,149
democracy,149
graham,149
piece,149
pushed,149
claiming,148
expand,148
judges,148
kavanaugh,148
true,148
truth,148
2016,147
deeply,147
mexico,147
previous,147
prior,147
standing,147
trump's,147
defending,146
fund,146
job,146
prohibit,146
results,146
girls,145
struck,145
accused,144
bring,144
conception,144
plans,144
summer,144
walker,144
written,144
advocacy,143
august,143
options,143
prison,143
published,143
rules,143
security,143
session,143
brought,142
hhs,142
lifers,142
opposition,142
pushing,142
30,141
agree,141
culture,141
experience,141
prohibits,141
congressional,140
legislatures,140
lines,140
progressive,140
reality,140
address,139
attorneys,139
liberty,139
montana,139
18,138
fear,138
saturday,138
standard,138
system,138
churches,137
concerned,137
critical,137
declared,137
fighting,137
increase,137
morning,137
survive,137
warned,137
appeared,136
concern,136
dollars,135
giving,135
sought,135
terminate,135
tweet,135
attention,134
challenging,134
communities,134
employees,134
innocent,134
threats,134
agreed,133
charged,133
chemical,133
cited,133
consequences,133
essential,133
injunction,133
minority,133
missouri,133
surgical,133
website,133
wing,133
won,133
2,132
determine,132
nebraska,132
reporter,132
restrictive,132
2018,131
cnn,131
front,131
mike,131
pre,131
reportedly,131
senators,131
senior,131
vulnerable,131
60,130
building,130
hospitals,130
physicians,130
release,130
thousands,130
answer,129
basic,129
dakota,129
follow,129
food,129
founder,129
helped,129
reversal,129
click,128
completely,128
role,128
senator,128
start,128
calls,127
speaking,127
threat,127
ultimately,127
40,126
changed,126
charges,126
complications,126
expressed,126
increased,126
kelly,126
mark,126
adoption,125
circuit,125
companies,125
controversial,125
criticized,125
legalized,125
22,124
ads,124
autonomy,124
century,124
head,124
legislators,124
stage,124
there’s,124
involved,123
january,123
minors,123
newsom,123
rare,123
restricting,123
appeal,122
border,122
create,122
harm,122
multiple,122
workers,122
elective,121
facility,121
passing,121
april,120
equal,120
financial,120
isn’t,120
reasons,120
regulations,120
faced,119
false,119
focused,119
infant,119
leadership,119
mail,119
oklahoma,119
reporting,119
respect,119
sue,119
activity,118
chance,118
msnbc,118
planning,118
requires,118
short,118
spent,118
11,117
13,117
17,117
barrett,117
colorado,117
compared,117
critics,117
facilities,117
pandemic,117
potentially,117
serve,117
targeted,117
100,116
biden’s,116
entire,116
fire,116
initiative,116
physical,116
program,116
account,115
carry,115
citing,115
coverage,115
danger,115
illinois,115
performing,115
races,115
urged,115
aclu,114
close,114
cost,114
gun,114
investigation,114
mass,114
meet,114
network,114
play,114
sexual,114
additional,113
conversation,113
deserve,113
helping,113
killing,113
lawsuits,113
takes,113
tax,113
union,113
2023,112
advance,112
author,112
battle,112
exception,112
plaintiffs,112
refused,112
sba,112
word,112
created,111
die,111
impose,111
largest,111
noting,111
repeal,111
repeatedly,111
residents,111
terms,111
attempted,110
bad,110
enforce,110
infants,110
low,110
quickly,110
rally,110
subject,110
aborted,109
affirming,109
direct,109
hand,109
marriage,109
nancy,109
sued,109
words,109
discussion,108
happened,108
kill,108
official,108
specific,108
stories,108
becerra,107
continues,107
costs,107
countries,107
enshrine,107
lee,107
meeting,107
reached,107
restriction,107
ron,107
you’re,107
14,106
colleagues,106
funds,106
mother's,106
prayer,106
similarly,106
situation,106
strike,106
tennessee,106
winning,106
determined,105
directly,105
hawkins,105
holding,105
oral,105
separate,105
started,105
student,105
voter,105
addition,104
agency,104
company,104
concluded,104
elect,104
father,104
gestation,104
leaving,104
offering,104
provision,104
status,104
strongly,104
ultrasound,104
authorities,103
beginning,103
deal,103
delivered,103
living,103
reporters,103
roughly,103
calif,102
cbs,102
committed,102
counseling,102
kennedy,102
loss,102
putting,102
requirements,102
alabama,101
amy,101
challenged,101
daily,101
hundreds,101
period,101
remarks,101
veto,101
coalition,100
covid,100
freedoms,100
girl,100
homes,100
independent,100
moved,100
protects,100
rate,100
utah,100
won’t,100
criticism,99
daughter,99
declined,99
designed,99
